Project Id;Project Description
11;"El proyecto AGORAge es uno de los pilotos del macro proyecto Horizon 2020 COESO: Collaborative Engagement on Societal Issues y se funda en la colaboración entre la Universitat Rovira i Virgili, el MARC (Medical Anthropology Research Center) de la misma universidad e ISRAA (Istituto per Servizi di Ricovero e Assistenza agli Anziani), una institución italiana proveedora de servicios para personas mayores. A lo largo del proyecto se involucrará a la ciudadanía (personas mayores, familiares, profesionales e informantes clave del barrio estudiado) en diferentes actividades (encuestas, entrevistas, grupos focales, talleres de co-creación) con la finalidad de co-crear una caja de herramientas (toolkit) apta a la implementación de una comunidad cuidadora. El producto final se pondrá a disposición de los y las proveedores/as de servicios de cuidado que desean fomentar la integración de las personas mayores en el barrio y así crear una comunidad cuidadora. Finalmente, el toolkit se traducirá en distintos idiomas (inglés, italiano, castellano y catalán) de manera que la experiencia de AGORAge se pueda replicar en otros contextos.
"
12;"Aulacheck es un proyecto colaborativo, impulsado por la Fundación Ibercivis y cofinanciado por la Fundación Española para la Ciencia y la Tecnología (FECYT), en el que estudiantes de 3º, 4º de ESO y 1º de Bachillerato de 30 institutos de toda España, cocrearán un periódico online de carácter científico y con alcance nacional. El alumnado podrá crear contenido y ""luchar"" contra la desinformación. El proyecto se desarrollará durante el curso escolar 2022/2023.
"
13;"Somos una comunidad de aprendizaje en la que ayudamos a romper con los miedos que sienten muchas personas al acercarse a Wikipedia, y ponemos en valor las aportaciones individuales a la narración colectiva de la Historia. Tenemos reuniones presenciales cada semana en Madrid y ofrecemos sesiones virtuales para quienes no pueden asistir en persona pero quieren dar sus primeros pasos editando en Wikipedia. Ponemos especial atención en la brecha de género en Wikipedia donde sólo el 13% de las personas que editan somos mujeres, por lo que desarrollamos editatonas (maratones de edición con perspectiva de género) donde creamos fundamentalmente biografías de mujeres que faltan en la enciclopedia libre más consultada.
"
14;"Proyecto de sensibilización y concienciación sobre la perdida de la biodiversidad, tratando de forma transversal problemas ambientales utilizando a las abejas y polinizadores como vehículo para llegar a ellos.
"
15;"RedPROMAR cuenta con una plataforma para el registro de información sobre biodiversidad marina, basado en el concepto de ciencia ciudadana, que facilita el seguimiento y vigilancia de la vida marina gracias a la contribución voluntaria de la ciudadanía. Así, funciona como una red de alerta temprana, que permite disponer de información actualizada, en tiempo real, sobre la salud de nuestro mar y los cambios que se están produciendo en los ecosistemas marinos. Las especies objetivo son aquellas cuyo seguimiento es especialmente relevante por razones diversas y cuyo registro aporta información de gran interés acerca del estado de los ecosistemas marinos, como especies amenazadas, especies clave, especies introducidas o proliferaciones de organismos.
Además, desde RedPROMAR se lleva a cabo una intensa labor de divulgación marina, por lo que te invitamos a que visites nuestra página web www.redpromar.org y descubras los materiales y recursos informativos que vamos generando, así como la extensa Guía de Especies, o que nos sigas en nuestras RRSS (YouTube, Facebook e Instagram) para conocer las acciones que llevamos a cabo por todas las islas Canarias. ¡Únete a la Red!
"
16;"El proyecto de divulgación científica Flebocollect se vertebra a través de una secuencia didáctica orientada a divulgar las consecuencias que tiene la alteración de los ecosistemas en la emergencia de distintas enfermedades. A través de esta secuencia didáctica, diseñada por investigadores en didáctica de las ciencias experimentales e investigadores expertos en leishmaniosis, Flebocollect acercará la ciencia, la tecnología, y la actividad investigadora a escolares de ESO y al público general a través de una experiencia en la que ellos tengan que poner en juego las destrezas y conocimientos propios de los científicos. Estos objetivos didácticos se complementan con los objetivos científicos del proyecto que se centran en mapear la abundancia y distribución de flebotomos en la Comunidad de Madrid.
"
17;"Plataforma web, es un buscador de Puntos de Interés patrimonial, desde ella vemos la vida de ""La Colmena""  ultimas celdas creadas, visitadas, fotos...también desde ella se crean las ""celdas""(pintos de interés) se generan rutas, concursos, grupos de trabajo, etc...
Aplicación APP al abrirla te geolocaliza en el mapa satélite y aparecen todos los Puntos de interés Patrimonial que tienes cerca, si te acercas a alguno de ellos, te los da por visitados, consiguiendo los puntos en posibles concursos que se realicen.
"
18;"Cycling with Clean Air está midiendo en tiempo real la calidad del aire en ciudades por donde transitan habitualmente ciclistas y ciudadanos, mediante monitores de partículas PM2.5 que personas voluntarias de entidades socias de ConBici llevan en su bicicleta. Esta iniciativa de ciencia ciudadana permitirá proponer medidas concretas de mejora de la calidad del aire y una buena implementación de Zonas de Bajas Emisiones (ZBE). 
El proyecto se estructura en las siguientes fases: 
1. Recogida de datos.
Adquisición de monitores portátiles y terminales de comunicación. Formación al equipo y a los voluntarios. Realización de mediciones y publicaciones parciales de datos. Recogida y procesado de los datos. Publicación de los datos procesados a esta web en la que podrán verlos tanto los participantes en las mediciones como el público en general.       
2. Elaboración de informes parciales y globales basados en las mediciones tomadas en la primera fase. Propuestas generales y locales de recomendaciones para las zonas de bajas emisiones.
3. Campaña de difusión en medios estatales y locales y canales de comunicación de ConBici. Trabajo conjunto con entidades colaboradoras de la campaña Clean Cities en España y con agentes locales involucrados en el diseño de las ZBE: asociaciones vecinales y de comerciantes, ONGs ambientales y otros agentes sociales.
4. Campaña de incidencia, coordinando la presentación y reuniones con autoridades públicas estatales y locales involucradas en las Zonas de Bajas Emisiones y aportando a las administraciones locales los resultados y conclusiones de las mediciones para que los incorporen en sus planes de movilidad sostenible y la definición de sus zonas de bajas emisiones.
"
19;"¿Qué es el Banco de imágenes del mundo rural?
El Banco de imágenes del mundo rural es un proyecto colaborativo que busca recopilar fotografías de la vida de nuestros pueblos. El objetivo es conseguir un material gráfico y descriptivo de manifestaciones y prácticas como labores, oficios, fiestas, costumbres, reuniones, romerías, tradiciones, aperos, razas ganaderas, etc. Un patrimonio de singular importancia. Importan las imágenes, lo que contienen y lo que representan, el saber y personas que hay detrás de ellas... Apoyados en la colaboración de aquellos particulares que quieran compartir sus fotografías, el proyecto organizará un completo catálogo mediante la clasificación y descripción de cada imagen (partiendo de la información aportada por los titulares).
¿Para qué el Banco de imágenes del mundo rural?
El Banco de imágenes del mundo rural servirá como testimonio colectivo de las formas de vida tradicionales de la provincia de Burgos, también como material de consulta y estudio para curiosos e investigadores. Dada la gran transformación sufrida en nuestro sistema de vida reciente, con la recopilación de esta información ayudaremos a evitar las rupturas de conocimiento que se producen entre las últimas generaciones, desconocedoras de prácticas que han estado vigentes hasta hace unos pocos años. Es, también, un proyecto sentimental sobre nuestros pueblos, sobre nuestras gentes y vidas. O lo que es lo mismo, una buena herramienta para paliar o reducir la cada vez más creciente desconexión entre el mundo rural y el urbano, pero también entre el pasado y el presente.
¿Qué buscamos con esta iniciativa de un Banco de imágenes del mundo rural?
Que compartan con nosotros sus fotos, independientemente de su calidad, pues lo que nos interesa son los momentos de vida cotidiana, de reunión, de trabajo, de celebración… Al ser este un proyecto digital, no necesitamos los originales, nos vale con que las escaneen (o, incluso, que nos envíen una foto de la fotografía hecha con cierto mimo). Nos interesan las fotos y las explicaciones de estas, lo que sucede, lo que cuentan, lo que hacen, quiénes son…).
Preservar, conocer y divulgar. El Banco de imágenes del mundo rural es un proyecto de ciencia ciudadana promovido por la Cátedra de Etnografía y Estudios del Medio Rural (CEEMR), de la Universidad de Burgos, con el apoyo de la Diputación de Burgos. Precisamos de la colaboración de cualquier ciudadano/a que, amante de su pueblo y tradiciones, nos envíe retazos de la vida de cada localidad.
"
20;"Es un proyecto cuyo objetivo central son escolares de colegios rurales de Aragón, aunque en el mismo también pueden participar particulares y miembros de colectivos como guardas forestales, agricultores o cazadores. A los mismos se les ha proporcionado unos kits de toma de muestras para que conserven garrapatas y pulgas que puedan encontrar sobre su cuerpo, sobre sus animales o en el medio ambiente. Con estas muestras podremos actualizar la distribución de estas especies en la región.
"
21;"El proyecto se basa en el desarrollo de instrumentación de bajo coste y código abierto que permite medir distintos parámetros del medio marino y costero (topografía de playas, batimetrías, temperatura del agua, nivel del mar ). En el marco del proyecto se ofrecen talleres a profesores de educación secundaria para que construyan los dispositivos con los alumnos y hagan campañas de medida. Los datos luego los compila el equipo investigador y los incluye en sus bases de datos para distintos proyectos de investigación. En paralelo, los investigadores ofrecen apoyo para que desde los centros educativos monten proyectos multidisciplinares alrededor del tema escogido. Esto facilita que los alumnos trabajen temas científicos desde diversas asignaturas y que aumente la concienciación ambiental y el interés por la investigación.
"
22;"Lograremos este objetivo utilizando los datos de las muestreos locales estructurados sobre el terreno para 1) desarrollar estimaciones fiables sobre la distribución de las especies y la dinámica de la población, 2) utilizarlas para identificar los sesgos inherentes a los datos de la ciencia ciudadana y, por último, 3) explorar la ventaja de integrar los datos de muestreos estructuradoss con la ciencia ciudadana en un único modelo para proporcionar estimaciones más sólidas de la distribución y la abundancia de las especies en amplias extensiones espaciales. En general, los resultados de este proyecto no solo supondrán un avance en la ciencia, sino que también darán lugar a mejores directrices y políticas para desarrollar estimaciones fiables de las tendencias de las especies y de los tamaños de las áreas de distribución para las evaluaciones de las poblaciones, una contribución significativa al marco global de biodiversidad posterior a 2020.
"
23;"Se ha realizado un análisis transdiciplinar aplicando herramientas de análisis cuantitativas y cualitativas de participación ciudadana con vecinas, vecinos y entidades de los barrios de los ejes de estudio.
Primero, a partir de la caracterización de las diferentes tipologías de actividades en planta baja, la evolución del peso de los sectores socioeconómicos en el tiempo, el grado de concentración, el análisis espacial mediante un GIS de la accesibilidad al comercio cotidiano y los euipamientos públicos básicos (salud, educación, cultura, etc...) o la velocidad de sustitución y rotación de los locales activos.
Segundo se contrastaban estos resultados con la visión de las entidades y vecinas participantes incorporando sus relatos acerca de las necesidades a partir de talleres de discusión, entrevistas y mapeos de la red cotidiana.
La síntesis de la aplicación de estas herramientas permitía realizar un diagnóstico amplio del impacto de la COVID-19 del tejido socioeconómico, ponía en valor el conocimiento del territorio y la visión de las vecinas y trabajadoras de las actividades participantes y se complementaba con una serie de datos cuantificables y por tanto contrastables propios del análisis propios a disciplinas como la geografía urbana.
"
24;"MicroMundo es un proyecto de investigación que pretende explorar bioactividades antibióticas en muestras de suelo. Los investigadores son Estudiantes de Centros de Enseñanza Secundaria y Bachillerato, tutorizados por alumnos de Grado y Máster Universitarios. Los estudiantes universitarios preparan, esterilizan y organizan la logística en los centros escolares para llevar a cabo los experimentos en cuatro sesiones de dos horas. Los estudiantes de ESO y Bachillerato realizan cultivos y ensayos de antibiosis a partir de muestras de tierra tomadas por ellos mismos. Los microorganismos aislados son catalogados por los estudiantes universitarios y conservados en colecciones a disposición de la comunidad científica.
"
25;"MonuMAI es un proyecto de ciencia ciudadana de la Fundación Descubre y la Universidad de Granada que ofrece la oportunidad de acercarnos a los grandes estilos artísticos de la Andalucía Medieval y de la Edad Moderna, que son los que más han contribuido a la génesis de los centros históricos andaluces, aunando patrimonio, matemáticas e inteligencia artificial. 
Pretendemos, junto a los ciudadanos-investigadores, entrenar al algoritmo, enseñarle a identificar estos estilos arquitectónicos a partir de una fotografía.
Además, juntos descubriremos si es cierto que hay una tendencia a sentir como más bellas un tipo de proporciones sobre otras; investigaremos juntos sobre el secreto matemático de la belleza de nuestros monumentos.
Objetivos Científicos:
Desarrollar un algoritmo que aprenda a reconocer patrimonio inmueble utilizando ""Deep Learning"".
Dotar a la comunidad científica de una base de datos etiquetada abierta de patrimonio inmueble.
Proporcionar herramientas para el estudio analítico o morfológico de la obra de arte.
Aportar modelos geométricos y de proporcionalidad para la interpretación del objeto arquitectónico.
Contribuir a forjar nexos interdisciplinares entre ciencia y patrimonio inmueble.
Objetivos Ciudadanía:
Dotar de competencias a la ciudadanía en la participación en un proyecto científico colaborativo de ciencia ciudadana.
Familiarizar a la ciudadanía con el método científico.
Descubrir a la ciudadanía la relación entre matemáticas y arte.
Hacer accesible las técnicas de inteligencia artificial a la vida cotidiana.
Incrementar el uso de las aplicaciones móviles como elemento de formación.
Facilitar una visión integrada entre el placer estético y el placer por el conocimiento.
Objetivos Sociales:
Contribuir a la concienciación social de la importancia del patrimonio arquitectónico.
Elaborar un mapa andaluz colaborativo abierto de patrimonio arquitectónico.
Generar un recurso para apoyar la enseñanza.
Integrar a la experiencia estética el conocimiento como recurso de turismo científico.
La app, a la que llamamos MonuMAI, tiene como punto fuerte su componente de Inteligencia Artificial, y, una vez finalizado el proyecto, será capaz de reconocer de forma autónoma estilos arquitectónicos presentes en las imágenes que se sincronicen con el sistema. Las técnicas empleadas (aprendizaje automático o Deep Learning) permitirán al sistema ser autónomo en su tarea y mejorar con el uso.
MonuMAI, que ya está disponible tanto en iOS como en Android de forma gratuita, pretende convertirse en una excelente herramienta docente, cultural y social que logrará poner en valor el patrimonio histórico tanto para los andaluces, como para los visitantes extranjeros y otros turistas que nos visiten.
"
26;"Se trata de una iniciativa del área de Soluciones Verdes de Fundación Juan XXIII con el fin de promocionar la educación medioambiental y la innovación social liderada por personas con discapacidad intelectual expertos en agricultura ecológica y naturación urbana con el objetivo de involucrar a centros escolares en un programa de economía circular y ciencia ciudadana, a través de proyectos de investigación y compostaje de residuos orgánicos en escuelas.
El programa educativo The Inclusive Circular Lab acompaña a los centros escolares durante todo el proceso de compostaje de residuos, facilitando materiales, asesoramiento técnico y recursos didácticos. La comunidad escolar aprende cómo iniciar y desarrollar su compostaje con el apoyo del equipo de Fundación Juan XXIII, formado por profesionales con discapacidad intelectual y/o enfermedad mental expertos en naturación urbana y agricultura ecológica. Además, también reciben formación sobre cómo recabar datos científicos y realizar el seguimiento objetivo del mismo.
Las escuelas participantes en el proyecto reciben de manera gratuita:
•	Kit de compostaje con todos los materiales necesarios
•	Formación webinar al equipo docente/AFA
•	Asesoramiento técnico
•	Guía Didáctica con actividades
•	Participación en un proyecto de investigación y ciencia ciudadana
•	Participación en el II Congreso webinar “Escuelas Circulares y Sostenibles, que se realiza al final del proyecto
•	Participación en una comunidad de aprendizaje de Red de Escuelas Compostadoras
•	Participación en el mapeo de identificación de iniciativas escolares de compostaje de residuos: https://maphub.net/FJ23/proyecto-inclusive-circular-lab
Durante el curso escolar, el alumnado, docentes y familias aprenden a través de la experiencia cómo transformar los residuos orgánicos en abono para cuidar el suelo de los huertos escolares y jardines del colegio. Además, también se involucran mediante un proyecto de investigación científica y ciencia ciudadana realizando la observación y recogiendo datos objetivos  e indicadores del proceso de compostaje tales como los kilos de productos orgánicos transformados en compost temperatura, humedad,  Ph, entre otros indicadores del compostaje. 
Los datos recabados se registran en un formulario digital de seguimiento. Al final del curso escolar los datos del estudio se publican y se comparten entre las escuelas participantes y científicos que estudian la materia. Al final del programa, este red de escuelas sostenibles y compostadoras participan en el Congreso webinar “Escuelas Circulares y Sostenibles 2030”, contando su experiencia a toda la sociedad.
El programa está abierto a todas las escuelas de España que estén interesadas en realizar un proyecto de compostaje y participar en un programa de investigación y ciencia ciudadana. Los colegios interesados pueden inscribirse para recibir más información a través del formulario on-line del programa:https://bit.ly/3gPlJZp
“The Inclusive Circular Lab” es una iniciativa del equipo del área de Soluciones Verdes de Fundación Juan XXIII, entidad sin ánimo de lucro que hace más de 50 años trabaja por la inclusión de personas con discapacidad intelectual.
"
27;"DeVOTE es un Proyecto de investigación financiado por el Consejo europeo de investigación (en inglés European Research Council, ERC) desde enero 2021 hasta diciembre 2025. El proyecto tiene su sede en el Departamento de Gobierno de la Universidad de Viena. El equipo de investigación, liderado por la Investigadora Principal Ass.-Prof. Carolina Plescia, busca proveer evidencia inédita sobre el significado que adquiere votar para la ciudadanía.
"
28;"Los ciudadanos reciben 5 variedades tradicionales de judías que tendrán que cultivar en su terraza, blacón, huerto, etc y anotar y tomar fotos del crecimiento, desarrollo, floración, etc de las plantas.
Todas las anotaciones se subirán a través del móvil a una app y se conpartirán con los investigadores participantes en el proyecto.
"
29;"Natusfera es la comunidad de iNaturalist en España. iNaturalist nace de una iniciativa de la Academia de Ciencias de California, actualmente también patrocinada por National Geographic, y que federa comunidades de 21 países (https://www.inaturalist.org/sites/network).
Se trata de una plataforma web y app gratuita de ciencia ciudadana creada para registrar, organizar y compartir observaciones de la naturaleza.
Las observaciones de los participantes en Natusfera, que pasan filtros de calidad que las hacen fiables para fines científicos, se publican  también en la Infraestructura Mundial de Información en Biodiversidad (www.gbif.org, datos.gbif.es).
"
30;"El proyecto de ciencia ciudadana tiene 4 fases de intervención. Seguidamente se incluye la información necesaria para realizar todas las fases del proyecto. Cada persona o grupo puede profundizar más o menos en el proyecto en función de su interés. En la medida de los posible, se propone a los participantes desarrollar los 4 niveles de participación al proyecto:
•	NIVEL 1: Las personas participantes recogen los datos de campo, con las herramientas correspondientes, los cuales llegaran a las personas científicas para su interpretación.
•	NIVEL 2: Las personas participantes recogen los datos y los interpretan.
•	NIVEL 3: Las personas participantes recogen los datos, los interpretan, identifican los problemas y buscan soluciones en base a la realidad identificada.
•	NIVEL 4: Las personas participantes recogen los datos, los interpretan, identifican problemas, piensan soluciones y participan en una de las sesiones de co-creación interdisciplinar para la minimización de plásticos en ríos de montaña.
"
31;"Tras el  interés mostrado por particulares y medios de comunicación en el año 2019 al exponer varios satélites españoles impresos en 3D en la Feria de la Energía de La Felguera, se consideró de interés completar tal exposición para nuevas muestras en el futuro. Además, se fue ampliando con maquetas a tamaño natural  ""activas"", (con electrónica integrada), y realizando actividades de radio con satélites en órbita tras el éxito en la recepción del satélite UPMSat-2 de la Politécnica de Madrid.  En estos momentos, también se está ampliando con maquetas de vehículos tripulados de Space X, Blue Origin, SLS-Orión, etc. utilizando siempre la impresión 3D. Al mismo tiempo y para divulgar actividades espaciales desarrolladas en España, -como por ejemplo los trabajos  en las diferentes  estaciones de NASA y ESA en España o de pioneros como Hemilio Herrera Linares-, se están diseñando carteles explicativos. La idea es comenzar a mostrarlo tras la pandemia (esperemos), a mediados del años 2022.
"
32;"Para alcanzar los objetivos del proyecto se están efectuando entrevistas a equipos profesionales -médicos, enfermeras y trabajadores sociales en centros de salud mental del estado-, pacientes, familiares y allegados, así como encuestas, grupos focales, revisiones de protocolos e historiales médicos, seguimientos de casos y análisis de los resultados obtenidos en cada uno de ellos evaluando comparativamente las intervenciones con mayor grado de coerción con aquellas cuyas decisiones se toman de manera más horizontal, dialógica y colaborativa. Paralelamente se está compilando una base de conocimientos para plasmar la experiencia acumulada en los servicios de salud mental del país, y desarrollando un sistema de asistencia a la toma de decisiones en código abierto para facilitar el proceso de selección del tipo tratamiento óptimo a seguir, y asegurar que todas las partes implicadas tengan fácil acceso a toda la información necesaria para poder hacerlo de manera consensuada.
"
33;"YouCount consiste en diez estudios de caso distribuidos en Austria, Dinamarca, España, Hungría, Italia, Lituania, Noruega, Reino Unido y Suecia. A través de los estudios de caso y con la participación de la ciudadanía juvenil (personas de entre 14-30 años)  nuestro proyecto generará nuevo conocimiento sobre los factores que contribuyen a la inclusión social de las personas jóvenes en Europa. El foco es en las personas jóvenes en general, aunque algunos casos trabajan con colectivos que experimentan situaciones de pobreza, migración, discapacidad, desempleo y/o privación de sus derechos. En España, el caso se desarrolla con personas jóvenes inmigrantes en el País Vasco.
"
34;"Servet es un proyecto científico-divulgativo en el que se desarrollan una serie de experimentos cercanos al espacio lanzados mediante globos sonda a la estratosfera. Estos experimentos están diseñados y fabricados por la ciudadanía, siendo ellos (los ciudadanos a través de sus centros escolares, asociaciones o a título individual) quienes toman la iniciativa a la hora de plantear su reto científico. 
Hasta la fecha se han desarrollado cuatro misiones Servet (desde 2017). El nombre hace honor al médico y científico aragonés Miguel Serveto y Conesa (1509), quien cultivó la astronomía y la meteorología entre otras disciplinas, y que ha pasado a la historia por descubrir la circulación pulmonar.
"
35;"El proyecto creará una red intergeneracional de observadores del reino fungi en Aragón, que contribuya a la mejora del conocimiento, el aprovechamiento sostenible y la valorización de los hongos silvestres comestibles. Se reclutará recolectores aficionados con dilatada experiencia de campo en los montes de su entorno, para estimar variables fenológicas, productivas y de calidad organoléptica de las principales especies fúngicas de interés socioeconómico en la región.
"
36;"MedusApp recoge por una parte los avistamientos de medusas de los ciudadanos de una manera muy cómoda y organizada, con inclusión de las coordenadas para que aparezcan posteriormente en un mapa público, que se utiliza para estudios científicos por parte de la Universidad de Alicante, así como picaduras, que no se publican, y sirven para aumentar el conocimiento de sus efectos alérgicos en las personas para un fundación médica en Madrid.
Adicionalmente, se fue completando la app para que tuviera una guía de medusas divulgativa, así como una guía de primeros auxilios con consejos de actuación ante una picadura, dependiendo de la especie.
"
37;"La forma de trabajo del proyecto tiene tres líneas principales de trabajo: 
1. Establecer una red de contenedores para la recogida selectiva de plomo proveniente del fondo marino, gracias a la colaboración de los centros de buceo, empresas colaboradoras, asociaciones y particulares de la Región de Murcia, ampliada a toda la nación.
2. Realizar inmersiones de prospección y posteriormente programarlas y planificarlas en puntos específicos llamados “calientes”, con alta concentración de material para extraerlo con la máxima eficacia, usando detectores de metal sumergibles.
3. Efectuar campañas de difusión y participación en eventos de limpiezas del litoral, búsqueda de sinergias con otras asociaciones, fundaciones o instituciones, empresas públicas y privadas.
"
